loan_amnt,term,grade,annual_inc,dti,loan_status,term_months,is_default,loan_to_income,small_purchase,dti_bucket,risk_segment
3600.0, 36 months,C,55000.0,5.91,Fully Paid,36,0,0.06545454545454546,0,"(0, 10]",Medium Risk
24700.0, 36 months,C,65000.0,16.06,Fully Paid,36,0,0.38,0,"(10, 20]",Medium Risk
20000.0, 60 months,B,63000.0,10.78,Fully Paid,60,0,0.31746031746031744,0,"(10, 20]",Low Risk
35000.0, 60 months,C,110000.0,17.06,Current,60,0,0.3181818181818182,0,"(10, 20]",Medium Risk
10400.0, 60 months,F,104433.0,25.37,Fully Paid,60,0,0.09958538010015991,0,"(20, 30]",High Risk
11950.0, 36 months,C,34000.0,10.2,Fully Paid,36,0,0.3514705882352941,0,"(10, 20]",Medium Risk
20000.0, 36 months,B,180000.0,14.67,Fully Paid,36,0,0.1111111111111111,0,"(10, 20]",Low Risk
20000.0, 36 months,B,85000.0,17.61,Fully Paid,36,0,0.23529411764705882,0,"(10, 20]",Medium Risk
10000.0, 36 months,A,85000.0,13.07,Fully Paid,36,0,0.11764705882352941,0,"(10, 20]",Low Risk
8000.0, 36 months,B,42000.0,34.8,Fully Paid,36,0,0.19047619047619047,0,"(30, 100]",Medium Risk
22400.0, 60 months,C,95000.0,22.98,Current,60,0,0.23578947368421052,0,"(20, 30]",Medium Risk
16000.0, 60 months,C,70000.0,26.4,Current,60,0,0.22857142857142856,0,"(20, 30]",Medium Risk
1400.0, 36 months,C,64000.0,34.95,Fully Paid,36,0,0.021875,0,"(30, 100]",Medium Risk
18000.0, 60 months,E,150000.0,9.39,Charged Off,60,1,0.12,0,"(0, 10]",Medium Risk
28000.0, 36 months,A,92000.0,21.6,Fully Paid,36,0,0.30434782608695654,0,"(20, 30]",Medium Risk
9600.0, 36 months,A,60000.0,22.44,Fully Paid,36,0,0.16,0,"(20, 30]",Medium Risk
25000.0, 36 months,A,109000.0,26.02,Fully Paid,36,0,0.22935779816513763,0,"(20, 30]",Medium Risk
18000.0, 60 months,C,112000.0,8.68,Fully Paid,60,0,0.16071428571428573,0,"(0, 10]",Medium Risk
23000.0, 60 months,B,64000.0,18.28,Current,60,0,0.359375,0,"(10, 20]",Medium Risk
8650.0, 36 months,E,55000.0,25.49,Fully Paid,36,0,0.1572727272727273,0,"(20, 30]",Medium Risk
29900.0, 60 months,C,65000.0,21.77,Fully Paid,60,0,0.46,0,"(20, 30]",Medium Risk
16000.0, 60 months,C,48000.0,33.18,Fully Paid,60,0,0.3333333333333333,0,"(30, 100]",Medium Risk
28000.0, 36 months,C,125000.0,7.49,Fully Paid,36,0,0.224,0,"(0, 10]",Medium Risk
5000.0, 36 months,C,79000.0,12.7,Fully Paid,36,0,0.06329113924050633,0,"(10, 20]",Medium Risk
6000.0, 36 months,A,100000.0,13.28,Fully Paid,36,0,0.06,0,"(10, 20]",Low Risk
4225.0, 36 months,C,35000.0,15.22,Charged Off,36,1,0.12071428571428572,0,"(10, 20]",Medium Risk
20000.0, 36 months,A,65000.0,18.83,Fully Paid,36,0,0.3076923076923077,0,"(10, 20]",Medium Risk
16000.0, 60 months,D,109000.0,23.35,Fully Paid,60,0,0.14678899082568808,0,"(20, 30]",Medium Risk
17600.0, 36 months,A,88000.0,26.59,Fully Paid,36,0,0.2,0,"(20, 30]",Medium Risk
15000.0, 36 months,A,44000.0,15.34,Fully Paid,36,0,0.3409090909090909,0,"(10, 20]",Medium Risk
16000.0, 36 months,C,65000.0,18.96,Charged Off,36,1,0.24615384615384617,0,"(10, 20]",Medium Risk
24250.0, 60 months,F,75000.0,20.84,Charged Off,60,1,0.3233333333333333,0,"(20, 30]",High Risk
12000.0, 36 months,B,98000.0,24.04,Fully Paid,36,0,0.12244897959183673,0,"(20, 30]",Medium Risk
25000.0, 60 months,C,79000.0,34.53,Charged Off,60,1,0.31645569620253167,0,"(30, 100]",Medium Risk
16800.0, 60 months,C,118000.0,34.29,Current,60,0,0.1423728813559322,0,"(30, 100]",Medium Risk
7000.0, 36 months,A,59000.0,13.06,Fully Paid,36,0,0.11864406779661017,0,"(10, 20]",Low Risk
21000.0, 60 months,C,52000.0,14.47,Fully Paid,60,0,0.40384615384615385,0,"(10, 20]",Medium Risk
27500.0, 60 months,C,195000.0,6.79,Fully Paid,60,0,0.14102564102564102,0,"(0, 10]",Medium Risk
7200.0, 36 months,B,72500.0,8.47,Fully Paid,36,0,0.0993103448275862,0,"(0, 10]",Low Risk
20000.0, 36 months,C,110000.0,12.45,Fully Paid,36,0,0.18181818181818182,0,"(10, 20]",Medium Risk
20000.0, 36 months,D,70000.0,22.21,Fully Paid,36,0,0.2857142857142857,0,"(20, 30]",Medium Risk
10000.0, 60 months,D,55000.0,35.7,Charged Off,60,1,0.18181818181818182,0,"(30, 100]",High Risk
16000.0, 60 months,C,142000.0,17.74,Current,60,0,0.11267605633802817,0,"(10, 20]",Medium Risk
20000.0, 36 months,B,75000.0,23.45,Fully Paid,36,0,0.26666666666666666,0,"(20, 30]",Medium Risk
8650.0, 36 months,A,100000.0,7.28,Fully Paid,36,0,0.0865,0,"(0, 10]",Low Risk
21000.0, 60 months,C,54649.0,12.14,Fully Paid,60,0,0.38427052645062126,0,"(10, 20]",Medium Risk
7200.0, 36 months,D,55000.0,17.35,Fully Paid,36,0,0.13090909090909092,0,"(10, 20]",Medium Risk
8800.0, 36 months,B,92000.0,5.18,Fully Paid,36,0,0.09565217391304348,0,"(0, 10]",Low Risk
14650.0, 60 months,E,43160.0,21.44,Current,60,0,0.33943466172381836,0,"(20, 30]",Medium Risk
2500.0, 36 months,D,50000.0,17.6,Fully Paid,36,0,0.05,0,"(10, 20]",Medium Risk
11000.0, 36 months,B,69000.0,21.34,Fully Paid,36,0,0.15942028985507245,0,"(20, 30]",Medium Risk
23850.0, 60 months,D,68046.0,24.71,Current,60,0,0.35049819239925933,0,"(20, 30]",Medium Risk
15700.0, 60 months,D,48000.0,29.13,Current,60,0,0.32708333333333334,0,"(20, 30]",Medium Risk
28800.0, 60 months,C,60000.0,18.01,Current,60,0,0.48,0,"(10, 20]",Medium Risk
10000.0, 36 months,C,91392.0,9.44,Fully Paid,36,0,0.1094187675070028,0,"(0, 10]",Medium Risk
24000.0, 60 months,B,77900.0,10.24,Current,60,0,0.3080872913992298,0,"(10, 20]",Low Risk
28000.0, 60 months,D,75000.0,31.88,Fully Paid,60,0,0.37333333333333335,0,"(30, 100]",Medium Risk
35000.0, 60 months,C,128000.0,6.46,Fully Paid,60,0,0.2734375,0,"(0, 10]",Medium Risk
7200.0, 36 months,B,50000.0,19.25,Fully Paid,36,0,0.144,0,"(10, 20]",Medium Risk
10000.0, 36 months,A,40100.0,10.81,Fully Paid,36,0,0.24937655860349128,0,"(10, 20]",Low Risk
16000.0, 60 months,C,42000.0,9.6,Charged Off,60,1,0.38095238095238093,0,"(0, 10]",Medium Risk
21875.0, 36 months,C,47590.0,17.76,Fully Paid,36,0,0.45965538978777054,0,"(10, 20]",Medium Risk
14025.0, 60 months,D,39000.0,18.0,Fully Paid,60,0,0.3596153846153846,0,"(10, 20]",Medium Risk
35000.0, 60 months,C,106000.0,17.36,Charged Off,60,1,0.330188679245283,0,"(10, 20]",Medium Risk
20000.0, 36 months,C,145000.0,12.28,Fully Paid,36,0,0.13793103448275862,0,"(10, 20]",Medium Risk
14000.0, 60 months,C,60000.0,24.29,Charged Off,60,1,0.23333333333333334,0,"(20, 30]",Medium Risk
16000.0, 60 months,B,62000.0,28.92,In Grace Period,60,0,0.25806451612903225,0,"(20, 30]",Medium Risk
28000.0, 60 months,C,85000.0,28.52,Current,60,0,0.32941176470588235,0,"(20, 30]",Medium Risk
20000.0, 60 months,C,70000.0,16.9,Charged Off,60,1,0.2857142857142857,0,"(10, 20]",Medium Risk
17600.0, 60 months,E,44000.0,17.56,Current,60,0,0.4,0,"(10, 20]",Medium Risk
4200.0, 36 months,C,102500.0,26.21,Fully Paid,36,0,0.04097560975609756,0,"(20, 30]",Medium Risk
19000.0, 60 months,C,75000.0,13.09,Fully Paid,60,0,0.25333333333333335,0,"(10, 20]",Medium Risk
15850.0, 60 months,F,45000.0,34.85,Fully Paid,60,0,0.3522222222222222,0,"(30, 100]",High Risk
